experiment,seed,status,returncode,command,started_order,started_at,finished_at,duration_sec
continuous-default,1,started,,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander.py --train --seed 1 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_parallel --eval-episodes 1,1,2026-05-01T17:17:56,,
continuous-default,2,started,,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander.py --train --seed 2 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_parallel --eval-episodes 1,2,2026-05-01T17:17:56,,
continuous-default,1,completed,0,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander.py --train --seed 1 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_parallel --eval-episodes 1,1,2026-05-01T17:17:56,2026-05-01T17:18:00,3.3
dqn,1,started,,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander_discrete.py --algo dqn --seed 1 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_parallel --eval-episodes 1 --dqn-lr 0.0001 --grad-clip-norm 10.0,3,2026-05-01T17:18:00,,
continuous-default,2,completed,0,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander.py --train --seed 2 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_parallel --eval-episodes 1,2,2026-05-01T17:17:56,2026-05-01T17:18:00,3.3
dqn,2,started,,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander_discrete.py --algo dqn --seed 2 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_parallel --eval-episodes 1 --dqn-lr 0.0001 --grad-clip-norm 10.0,4,2026-05-01T17:18:00,,
dqn,2,completed,0,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander_discrete.py --algo dqn --seed 2 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_parallel --eval-episodes 1 --dqn-lr 0.0001 --grad-clip-norm 10.0,4,2026-05-01T17:18:00,2026-05-01T17:18:02,2.0
dqn,1,completed,0,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander_discrete.py --algo dqn --seed 1 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_parallel --eval-episodes 1 --dqn-lr 0.0001 --grad-clip-norm 10.0,3,2026-05-01T17:18:00,2026-05-01T17:18:02,2.1
