experiment,seed,status,returncode,command,started_order,started_at,finished_at,duration_sec
dqn,1,started,,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander_discrete.py --algo dqn --seed 1 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_discrete_csv --eval-episodes 1 --dqn-lr 0.0001 --grad-clip-norm 10.0,1,2026-05-01T17:18:26,,
dqn,1,completed,0,C:\Users\Robin\miniconda3\python.exe SAC_lunar_lander_discrete.py --algo dqn --seed 1 --total-steps 0 --random-steps 0 --replay-capacity 100000 --eval-freq 1 --log-dir logs_multiseed\smoke_discrete_csv --eval-episodes 1 --dqn-lr 0.0001 --grad-clip-norm 10.0,1,2026-05-01T17:18:26,2026-05-01T17:18:28,2.0
